"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","case_type_ID","case_type","decision_type_ID","decision_type","count_decisions"
1141,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1142,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1143,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
1144,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
1145,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1146,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1147,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1148,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1149,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1150,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
1151,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1152,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1153,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1154,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1155,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1156,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1157,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1158,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",2
1159,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1160,1994,2,"Agriculture and Rural Development","AGRI",1,"Scheme",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1161,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1162,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1163,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1164,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
1165,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1166,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1167,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1168,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1169,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1170,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
1171,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1172,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1173,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1174,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1175,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1176,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1177,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1178,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1179,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1180,1994,2,"Agriculture and Rural Development","AGRI",2,"Individual application",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1181,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1182,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1183,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1184,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
1185,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1186,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1187,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1188,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1189,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1190,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
1191,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1192,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1193,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1194,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1195,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1196,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1197,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1198,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1199,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1200,1994,2,"Agriculture and Rural Development","AGRI",3,"Ad hoc",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1201,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1202,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1203,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1204,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
1205,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1206,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1207,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1208,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1209,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1210,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
1211,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1212,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1213,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1214,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1215,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1216,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1217,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1218,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1219,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1220,1994,3,"Maritime Affairs and Fisheries","MARE",1,"Scheme",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1221,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1222,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1223,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1224,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
1225,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1226,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1227,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1228,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1229,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1230,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
1231,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1232,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1233,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1234,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1235,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1236,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1237,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1238,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1239,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1240,1994,3,"Maritime Affairs and Fisheries","MARE",2,"Individual application",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1241,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1242,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1243,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1244,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
1245,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1246,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1247,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1248,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1249,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1250,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
1251,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1252,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1253,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1254,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1255,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1256,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1257,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1258,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1259,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1260,1994,3,"Maritime Affairs and Fisheries","MARE",3,"Ad hoc",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1261,1995,1,"Competition","COMP",1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1262,1995,1,"Competition","COMP",1,"Scheme",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1263,1995,1,"Competition","COMP",1,"Scheme",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
1264,1995,1,"Competition","COMP",1,"Scheme",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",3
1265,1995,1,"Competition","COMP",1,"Scheme",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1266,1995,1,"Competition","COMP",1,"Scheme",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1267,1995,1,"Competition","COMP",1,"Scheme",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1268,1995,1,"Competition","COMP",1,"Scheme",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1269,1995,1,"Competition","COMP",1,"Scheme",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1270,1995,1,"Competition","COMP",1,"Scheme",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
1271,1995,1,"Competition","COMP",1,"Scheme",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
1272,1995,1,"Competition","COMP",1,"Scheme",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1273,1995,1,"Competition","COMP",1,"Scheme",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",2
1274,1995,1,"Competition","COMP",1,"Scheme",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1275,1995,1,"Competition","COMP",1,"Scheme",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1276,1995,1,"Competition","COMP",1,"Scheme",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1277,1995,1,"Competition","COMP",1,"Scheme",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1278,1995,1,"Competition","COMP",1,"Scheme",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1279,1995,1,"Competition","COMP",1,"Scheme",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1280,1995,1,"Competition","COMP",1,"Scheme",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1281,1995,1,"Competition","COMP",2,"Individual application",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
1282,1995,1,"Competition","COMP",2,"Individual application",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1283,1995,1,"Competition","COMP",2,"Individual application",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1284,1995,1,"Competition","COMP",2,"Individual application",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",0
1285,1995,1,"Competition","COMP",2,"Individual application",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1286,1995,1,"Competition","COMP",2,"Individual application",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",0
1287,1995,1,"Competition","COMP",2,"Individual application",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1288,1995,1,"Competition","COMP",2,"Individual application",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1289,1995,1,"Competition","COMP",2,"Individual application",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1290,1995,1,"Competition","COMP",2,"Individual application",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",0
1291,1995,1,"Competition","COMP",2,"Individual application",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1292,1995,1,"Competition","COMP",2,"Individual application",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1293,1995,1,"Competition","COMP",2,"Individual application",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1294,1995,1,"Competition","COMP",2,"Individual application",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1295,1995,1,"Competition","COMP",2,"Individual application",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",0
1296,1995,1,"Competition","COMP",2,"Individual application",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1297,1995,1,"Competition","COMP",2,"Individual application",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1298,1995,1,"Competition","COMP",2,"Individual application",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1299,1995,1,"Competition","COMP",2,"Individual application",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1300,1995,1,"Competition","COMP",2,"Individual application",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1301,1995,1,"Competition","COMP",3,"Ad hoc",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
1302,1995,1,"Competition","COMP",3,"Ad hoc",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",0
1303,1995,1,"Competition","COMP",3,"Ad hoc",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",0
1304,1995,1,"Competition","COMP",3,"Ad hoc",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",3
1305,1995,1,"Competition","COMP",3,"Ad hoc",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",0
1306,1995,1,"Competition","COMP",3,"Ad hoc",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
1307,1995,1,"Competition","COMP",3,"Ad hoc",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",0
1308,1995,1,"Competition","COMP",3,"Ad hoc",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",0
1309,1995,1,"Competition","COMP",3,"Ad hoc",9,"Article 9(5) of Council Regulation (EU) 2015/1589: negative decision on notified aid",0
1310,1995,1,"Competition","COMP",3,"Ad hoc",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",3
1311,1995,1,"Competition","COMP",3,"Ad hoc",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",0
1312,1995,1,"Competition","COMP",3,"Ad hoc",12,"Article 10(1) of Council Regulation (EU) 2015/1589: withdrawal of notification (before formal investigation procedure)",0
1313,1995,1,"Competition","COMP",3,"Ad hoc",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",0
1314,1995,1,"Competition","COMP",3,"Ad hoc",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",0
1315,1995,1,"Competition","COMP",3,"Ad hoc",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
1316,1995,1,"Competition","COMP",3,"Ad hoc",16,"Article 13(1) of Council Regulation (EU) 2015/1589: suspension injunction",0
1317,1995,1,"Competition","COMP",3,"Ad hoc",17,"Article 14 of Council Regulation (EU) 2015/1589: referral to the Court of Justice (non-compliance with an injunction)",0
1318,1995,1,"Competition","COMP",3,"Ad hoc",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",0
1319,1995,1,"Competition","COMP",3,"Ad hoc",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",0
1320,1995,1,"Competition","COMP",3,"Ad hoc",20,"Article 260(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Court judgment)",0
1321,1995,2,"Agriculture and Rural Development","AGRI",1,"Scheme",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",0
